timestamp,sample_num,rail1_vout_raw_hex,rail1_vout_raw_dec,rail1_vout_exponent,rail1_vout_v,rail1_iout_raw_hex,rail1_iout_raw_dec,rail1_iout_exponent,rail1_iout_mantissa,rail1_iout_a,rail2_vout_raw_hex,rail2_vout_raw_dec,rail2_vout_exponent,rail2_vout_v,rail2_iout_raw_hex,rail2_iout_raw_dec,rail2_iout_exponent,rail2_iout_mantissa,rail2_iout_a,rail1_status,rail2_status
3.505,36,0x02FA,762,-10,0.744141,0xEA77,60023,-3,631,78.875,0x02FE,766,-10,0.748047,0xDA3E,55870,-5,574,17.938,0x9003,0x9003
3.605,37,0x02F9,761,-10,0.743164,0xEA77,60023,-3,631,78.875,0x0301,769,-10,0.750977,0xDA44,55876,-5,580,18.125,0x9003,0x9003
3.705,38,0x02F9,761,-10,0.743164,0xEA74,60020,-3,628,78.500,0x02FE,766,-10,0.748047,0xDA48,55880,-5,584,18.250,0x9003,0x9003
3.805,39,0x02F9,761,-10,0.743164,0xEA77,60023,-3,631,78.875,0x0300,768,-10,0.750000,0xDA46,55878,-5,582,18.188,0x9003,0x9003
3.905,40,0x02F9,761,-10,0.743164,0xEA77,60023,-3,631,78.875,0x0300,768,-10,0.750000,0xDA40,55872,-5,576,18.000,0x9003,0x9003
4.006,41,0x02F8,760,-10,0.742188,0xEA78,60024,-3,632,79.000,0x02FE,766,-10,0.748047,0xDA44,55876,-5,580,18.125,0x9003,0x9003
4.106,42,0x02F9,761,-10,0.743164,0xEA78,60024,-3,632,79.000,0x02FE,766,-10,0.748047,0xDA4A,55882,-5,586,18.312,0x9003,0x9003
4.206,43,0x02F9,761,-10,0.743164,0xEA78,60024,-3,632,79.000,0x02FE,766,-10,0.748047,0xDA3A,55866,-5,570,17.812,0x9003,0x9003
4.306,44,0x02FA,762,-10,0.744141,0xEA75,60021,-3,629,78.625,0x02FE,766,-10,0.748047,0xDA44,55876,-5,580,18.125,0x9003,0x9003
4.406,45,0x02F9,761,-10,0.743164,0xEA73,60019,-3,627,78.375,0x02FE,766,-10,0.748047,0xDA3C,55868,-5,572,17.875,0x9003,0x9003
4.506,46,0x02FA,762,-10,0.744141,0xEA73,60019,-3,627,78.375,0x0300,768,-10,0.750000,0xDA48,55880,-5,584,18.250,0x9003,0x9003
