timestamp,sample_num,rail1_vout_raw_hex,rail1_vout_raw_dec,rail1_vout_exponent,rail1_vout_v,rail1_iout_raw_hex,rail1_iout_raw_dec,rail1_iout_exponent,rail1_iout_mantissa,rail1_iout_a,rail2_vout_raw_hex,rail2_vout_raw_dec,rail2_vout_exponent,rail2_vout_v,rail2_iout_raw_hex,rail2_iout_raw_dec,rail2_iout_exponent,rail2_iout_mantissa,rail2_iout_a,rail1_status,rail2_status
0.000,1,0x02FA,762,-10,0.744141,0xEA76,60022,-3,630,78.750,0x02FE,766,-10,0.748047,0xDA42,55874,-5,578,18.062,0x9003,0x9003
0.100,2,0x02FA,762,-10,0.744141,0xEA7B,60027,-3,635,79.375,0x0300,768,-10,0.750000,0xDA38,55864,-5,568,17.750,0x9003,0x9003
0.201,3,0x02F9,761,-10,0.743164,0xEA77,60023,-3,631,78.875,0x02FE,766,-10,0.748047,0xDA42,55874,-5,578,18.062,0x9003,0x9003
0.301,4,0x02F9,761,-10,0.743164,0xEA73,60019,-3,627,78.375,0x02FE,766,-10,0.748047,0xDA3E,55870,-5,574,17.938,0x9003,0x9003
0.401,5,0x02F9,761,-10,0.743164,0xEA75,60021,-3,629,78.625,0x0300,768,-10,0.750000,0xDA4A,55882,-5,586,18.312,0x9003,0x9003
0.501,6,0x02F9,761,-10,0.743164,0xEA72,60018,-3,626,78.250,0x0300,768,-10,0.750000,0xDA40,55872,-5,576,18.000,0x9003,0x9003
0.601,7,0x02FA,762,-10,0.744141,0xEA77,60023,-3,631,78.875,0x02FE,766,-10,0.748047,0xDA40,55872,-5,576,18.000,0x9003,0x9003
0.701,8,0x02FA,762,-10,0.744141,0xEA78,60024,-3,632,79.000,0x02FE,766,-10,0.748047,0xDA42,55874,-5,578,18.062,0x9003,0x9003
0.801,9,0x02F9,761,-10,0.743164,0xEA76,60022,-3,630,78.750,0x02FE,766,-10,0.748047,0xDA4C,55884,-5,588,18.375,0x9003,0x9003
0.901,10,0x02FA,762,-10,0.744141,0xEA77,60023,-3,631,78.875,0x0300,768,-10,0.750000,0xDA44,55876,-5,580,18.125,0x9003,0x9003
1.002,11,0x02F9,761,-10,0.743164,0xEA70,60016,-3,624,78.000,0x02FE,766,-10,0.748047,0xDA44,55876,-5,580,18.125,0x9003,0x9003
1.102,12,0x02F9,761,-10,0.743164,0xEA75,60021,-3,629,78.625,0x02FE,766,-10,0.748047,0xDA3A,55866,-5,570,17.812,0x9003,0x9003
1.202,13,0x02F9,761,-10,0.743164,0xEA79,60025,-3,633,79.125,0x0301,769,-10,0.750977,0xDA3E,55870,-5,574,17.938,0x9003,0x9003
