timestamp,page,address,hex_addr,raw_value,decimal_value,low_byte,high_byte,binary
2025-09-25 12:06:31.269,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.371,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.474,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.575,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.678,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.782,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.891,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:31.994,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.105,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.208,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.323,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.436,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.541,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.643,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.747,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.863,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:32.971,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:33.077,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:33.188,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
2025-09-25 12:06:33.290,0,STATUS_WORD (0x79),0x79,0x9203,37379,0x03,0x92,1001001000000011
