timestamp,sample_num,value,units
26.694,266,59.812,A
26.794,267,59.812,A
26.894,268,60.312,A
26.994,269,60.250,A
27.094,270,60.062,A
27.194,271,59.500,A
27.294,272,59.688,A
27.395,273,59.625,A
27.495,274,60.062,A
27.595,275,59.750,A
27.695,276,59.688,A
27.795,277,60.000,A
27.895,278,60.125,A
27.995,279,60.062,A
28.096,280,60.062,A
28.196,281,60.250,A
28.296,282,60.125,A
28.396,283,60.000,A
28.496,284,60.125,A
28.596,285,60.188,A
28.696,286,59.875,A
28.797,287,60.000,A
28.897,288,59.250,A
28.997,289,59.562,A
29.097,290,60.000,A
29.197,291,60.250,A
29.297,292,60.375,A
29.398,293,59.938,A
29.498,294,60.125,A
29.598,295,59.875,A
29.698,296,59.562,A
29.798,297,60.312,A
29.898,298,60.000,A
29.998,299,60.312,A
30.099,300,60.375,A
30.199,301,59.625,A
30.299,302,59.875,A
30.399,303,59.562,A
30.499,304,60.125,A
30.599,305,59.625,A
30.699,306,59.750,A
30.800,307,60.000,A
30.900,308,59.750,A
31.000,309,60.312,A
31.100,310,59.625,A
31.200,311,59.938,A
31.300,312,59.375,A
31.401,313,59.875,A
31.501,314,60.000,A
31.601,315,59.875,A
31.701,316,60.188,A
31.801,317,59.812,A
31.901,318,60.375,A
32.001,319,60.188,A
32.102,320,59.750,A
32.202,321,60.188,A
32.302,322,60.062,A
32.402,323,59.688,A
32.502,324,59.438,A
32.602,325,59.125,A
32.702,326,59.500,A
32.803,327,60.562,A
32.903,328,59.312,A
33.003,329,60.000,A
33.103,330,59.625,A
33.203,331,59.750,A
33.303,332,59.750,A
33.404,333,59.688,A
33.504,334,59.188,A
33.604,335,60.188,A
33.704,336,59.688,A
33.804,337,59.250,A
33.904,338,59.625,A
34.004,339,60.250,A
34.105,340,60.375,A
34.205,341,59.750,A
34.305,342,60.062,A
34.405,343,60.188,A
34.505,344,60.250,A
34.605,345,60.062,A
34.705,346,60.062,A
34.806,347,60.000,A
34.906,348,59.812,A
35.006,349,59.875,A
35.106,350,60.250,A
35.206,351,59.688,A
35.306,352,59.688,A
35.407,353,59.688,A
35.507,354,59.500,A
35.607,355,60.125,A
35.707,356,59.250,A
35.807,357,59.312,A
35.907,358,60.562,A
36.007,359,59.312,A
36.108,360,59.875,A
36.208,361,59.250,A
36.308,362,60.062,A
36.408,363,59.812,A
36.508,364,60.000,A
36.608,365,60.062,A
36.708,366,59.250,A
36.808,367,58.938,A
36.909,368,59.500,A
37.009,369,59.188,A
37.109,370,59.875,A
37.209,371,60.062,A
37.309,372,59.562,A
37.409,373,60.000,A
37.509,374,59.562,A
37.610,375,60.000,A
37.710,376,59.750,A
37.810,377,60.125,A
37.910,378,60.312,A
38.010,379,59.750,A
38.110,380,59.562,A
38.211,381,60.000,A
38.311,382,59.562,A
38.411,383,59.938,A
38.511,384,59.500,A
38.611,385,59.500,A
38.711,386,59.938,A
38.811,387,60.375,A
38.912,388,60.000,A
39.012,389,59.812,A
39.112,390,60.562,A
39.212,391,60.125,A
39.312,392,60.500,A
39.412,393,59.812,A
39.512,394,60.062,A
39.612,395,59.875,A
39.713,396,59.750,A
39.813,397,60.312,A
39.913,398,59.750,A
40.013,399,59.438,A
40.113,400,60.062,A
40.214,401,60.250,A
40.315,402,59.688,A
40.415,403,59.500,A
40.515,404,60.375,A
40.615,405,60.000,A
40.715,406,60.188,A
40.815,407,59.875,A
40.915,408,60.125,A
41.016,409,60.375,A
41.116,410,59.938,A
41.216,411,60.125,A
41.316,412,59.375,A
41.416,413,59.250,A
41.516,414,59.500,A
41.616,415,58.875,A
41.717,416,59.875,A
41.817,417,59.188,A
41.917,418,59.812,A
42.017,419,60.062,A
42.118,420,60.188,A
42.218,421,59.625,A
42.318,422,59.625,A
42.418,423,60.000,A
42.518,424,60.188,A
42.618,425,60.062,A
42.718,426,59.750,A
42.819,427,60.062,A
42.919,428,60.500,A
43.019,429,59.625,A
43.119,430,59.688,A
43.219,431,60.250,A
43.319,432,59.938,A
43.419,433,60.500,A
43.520,434,60.562,A
43.620,435,60.062,A
43.720,436,59.938,A
43.820,437,59.625,A
43.920,438,59.625,A
44.020,439,60.062,A
44.120,440,59.938,A
44.221,441,59.500,A
44.321,442,60.062,A
44.421,443,60.125,A
44.521,444,59.375,A
44.621,445,60.062,A
44.721,446,59.812,A
44.821,447,59.812,A
44.922,448,59.625,A
45.022,449,59.938,A
45.122,450,59.500,A
45.222,451,59.562,A
45.322,452,60.062,A
45.423,453,59.500,A
45.523,454,59.375,A
45.623,455,60.250,A
45.723,456,59.625,A
45.823,457,59.625,A
45.923,458,59.812,A
46.023,459,59.625,A
46.124,460,60.188,A
46.224,461,59.875,A
46.324,462,59.750,A
46.424,463,59.625,A
46.524,464,59.625,A
46.624,465,59.750,A
46.725,466,59.750,A
46.825,467,59.750,A
46.925,468,59.750,A
47.025,469,59.062,A
47.125,470,59.688,A
47.225,471,60.125,A
47.326,472,59.562,A
47.426,473,60.062,A
47.526,474,59.438,A
47.626,475,60.000,A
47.726,476,60.125,A
47.827,477,59.938,A
47.928,478,59.312,A
48.028,479,59.812,A
48.128,480,59.875,A
48.228,481,60.562,A
48.328,482,59.750,A
48.428,483,59.938,A
48.529,484,59.062,A
48.629,485,60.500,A
48.729,486,59.438,A
48.829,487,60.062,A
48.929,488,59.750,A
49.029,489,59.875,A
49.129,490,59.938,A
49.230,491,59.625,A
49.330,492,59.750,A
49.430,493,59.500,A
49.530,494,59.938,A
49.630,495,59.875,A
49.730,496,59.750,A
49.830,497,60.500,A
49.931,498,60.188,A
