timestamp,sample_num,rail1_vout_raw_hex,rail1_vout_raw_dec,rail1_vout_exponent,rail1_vout_v,rail1_iout_raw_hex,rail1_iout_raw_dec,rail1_iout_exponent,rail1_iout_mantissa,rail1_iout_a,rail2_vout_raw_hex,rail2_vout_raw_dec,rail2_vout_exponent,rail2_vout_v,rail2_iout_raw_hex,rail2_iout_raw_dec,rail2_iout_exponent,rail2_iout_mantissa,rail2_iout_a,rail1_status,rail2_status
0.000,1,0x02FC,764,-10,0.746094,0xE3B7,58295,-4,951,59.438,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
0.100,2,0x02FA,762,-10,0.744141,0xE3BF,58303,-4,959,59.938,0x0300,768,-10,0.750000,0xDA14,55828,-5,532,16.625,0x9003,0x9003
0.200,3,0x02FC,764,-10,0.746094,0xE3B9,58297,-4,953,59.562,0x02FE,766,-10,0.748047,0xDA12,55826,-5,530,16.562,0x9003,0x9003
0.301,4,0x02FC,764,-10,0.746094,0xE3BF,58303,-4,959,59.938,0x0300,768,-10,0.750000,0xDA08,55816,-5,520,16.250,0x9003,0x9003
0.401,5,0x02FA,762,-10,0.744141,0xE3B7,58295,-4,951,59.438,0x02FE,766,-10,0.748047,0xDA04,55812,-5,516,16.125,0x9003,0x9003
0.501,6,0x02FC,764,-10,0.746094,0xE3B9,58297,-4,953,59.562,0x0300,768,-10,0.750000,0xDA04,55812,-5,516,16.125,0x9003,0x9003
0.601,7,0x02FC,764,-10,0.746094,0xE3AF,58287,-4,943,58.938,0x0300,768,-10,0.750000,0xDA10,55824,-5,528,16.500,0x9003,0x9003
0.701,8,0x02FA,762,-10,0.744141,0xE3B9,58297,-4,953,59.562,0x0300,768,-10,0.750000,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
0.801,9,0x02FC,764,-10,0.746094,0xE3AF,58287,-4,943,58.938,0x0300,768,-10,0.750000,0xDA12,55826,-5,530,16.562,0x9003,0x9003
0.901,10,0x02FA,762,-10,0.744141,0xE3BC,58300,-4,956,59.750,0x0300,768,-10,0.750000,0xDA10,55824,-5,528,16.500,0x9003,0x9003
1.001,11,0x02FC,764,-10,0.746094,0xE3BC,58300,-4,956,59.750,0x0300,768,-10,0.750000,0xDA16,55830,-5,534,16.688,0x9003,0x9003
1.102,12,0x02FC,764,-10,0.746094,0xE3B8,58296,-4,952,59.500,0x02FE,766,-10,0.748047,0xDA18,55832,-5,536,16.750,0x9003,0x9003
1.202,13,0x02FC,764,-10,0.746094,0xE3B2,58290,-4,946,59.125,0x0301,769,-10,0.750977,0xDA0E,55822,-5,526,16.438,0x9003,0x9003
1.302,14,0x02FA,762,-10,0.744141,0xE3B2,58290,-4,946,59.125,0x0300,768,-10,0.750000,0xDA12,55826,-5,530,16.562,0x9003,0x9003
1.402,15,0x02FA,762,-10,0.744141,0xE3B3,58291,-4,947,59.188,0x0300,768,-10,0.750000,0xDA12,55826,-5,530,16.562,0x9003,0x9003
1.502,16,0x02FC,764,-10,0.746094,0xE3B8,58296,-4,952,59.500,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
1.602,17,0x02FC,764,-10,0.746094,0xE3BB,58299,-4,955,59.688,0x0300,768,-10,0.750000,0xDA0E,55822,-5,526,16.438,0x9003,0x9003
1.702,18,0x02FC,764,-10,0.746094,0xE3B9,58297,-4,953,59.562,0x0300,768,-10,0.750000,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
1.802,19,0x02FA,762,-10,0.744141,0xE3B7,58295,-4,951,59.438,0x02FE,766,-10,0.748047,0xDA14,55828,-5,532,16.625,0x9003,0x9003
1.903,20,0x02FC,764,-10,0.746094,0xE3BE,58302,-4,958,59.875,0x02FE,766,-10,0.748047,0xDA0E,55822,-5,526,16.438,0x9003,0x9003
2.003,21,0x02FA,762,-10,0.744141,0xE3BD,58301,-4,957,59.812,0x0300,768,-10,0.750000,0xDA08,55816,-5,520,16.250,0x9003,0x9003
2.103,22,0x02FC,764,-10,0.746094,0xE3B7,58295,-4,951,59.438,0x02FE,766,-10,0.748047,0xDA0A,55818,-5,522,16.312,0x9003,0x9003
2.203,23,0x02FC,764,-10,0.746094,0xE3BA,58298,-4,954,59.625,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
2.303,24,0x02FC,764,-10,0.746094,0xE3B8,58296,-4,952,59.500,0x0300,768,-10,0.750000,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
2.403,25,0x02FC,764,-10,0.746094,0xE3B2,58290,-4,946,59.125,0x0300,768,-10,0.750000,0xDA0A,55818,-5,522,16.312,0x9003,0x9003
2.503,26,0x02FC,764,-10,0.746094,0xE3B6,58294,-4,950,59.375,0x0300,768,-10,0.750000,0xDA18,55832,-5,536,16.750,0x9003,0x9003
2.603,27,0x02FA,762,-10,0.744141,0xE3BB,58299,-4,955,59.688,0x02FE,766,-10,0.748047,0xDA0E,55822,-5,526,16.438,0x9003,0x9003
2.704,28,0x02FC,764,-10,0.746094,0xE3B3,58291,-4,947,59.188,0x02FE,766,-10,0.748047,0xDA08,55816,-5,520,16.250,0x9003,0x9003
2.804,29,0x02FC,764,-10,0.746094,0xE3B3,58291,-4,947,59.188,0x0301,769,-10,0.750977,0xDA06,55814,-5,518,16.188,0x9003,0x9003
2.904,30,0x02FC,764,-10,0.746094,0xE3B8,58296,-4,952,59.500,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
3.004,31,0x02FA,762,-10,0.744141,0xE3B1,58289,-4,945,59.062,0x02FE,766,-10,0.748047,0xDA16,55830,-5,534,16.688,0x9003,0x9003
3.104,32,0x02FA,762,-10,0.744141,0xE3BA,58298,-4,954,59.625,0x0300,768,-10,0.750000,0xDA16,55830,-5,534,16.688,0x9003,0x9003
3.204,33,0x02FC,764,-10,0.746094,0xE3B7,58295,-4,951,59.438,0x02FD,765,-10,0.747070,0xDA0A,55818,-5,522,16.312,0x9003,0x9003
3.304,34,0x02FC,764,-10,0.746094,0xE3B5,58293,-4,949,59.312,0x02FE,766,-10,0.748047,0xDA08,55816,-5,520,16.250,0x9003,0x9003
3.405,35,0x02FC,764,-10,0.746094,0xE3BB,58299,-4,955,59.688,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
3.505,36,0x02FA,762,-10,0.744141,0xE3B6,58294,-4,950,59.375,0x0300,768,-10,0.750000,0xDA06,55814,-5,518,16.188,0x9003,0x9003
3.605,37,0x02FA,762,-10,0.744141,0xE3B1,58289,-4,945,59.062,0x02FE,766,-10,0.748047,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
3.705,38,0x02F9,761,-10,0.743164,0xE3B2,58290,-4,946,59.125,0x0301,769,-10,0.750977,0xDA10,55824,-5,528,16.500,0x9003,0x9003
3.805,39,0x02FA,762,-10,0.744141,0xE3B6,58294,-4,950,59.375,0x02FD,765,-10,0.747070,0xDA08,55816,-5,520,16.250,0x9003,0x9003
3.905,40,0x02FC,764,-10,0.746094,0xE3BB,58299,-4,955,59.688,0x0300,768,-10,0.750000,0xDA10,55824,-5,528,16.500,0x9003,0x9003
4.005,41,0x02FA,762,-10,0.744141,0xE3B9,58297,-4,953,59.562,0x02FE,766,-10,0.748047,0xDA14,55828,-5,532,16.625,0x9003,0x9003
4.105,42,0x02FA,762,-10,0.744141,0xE3B9,58297,-4,953,59.562,0x0301,769,-10,0.750977,0xDA0A,55818,-5,522,16.312,0x9003,0x9003
4.205,43,0x02FA,762,-10,0.744141,0xE3B7,58295,-4,951,59.438,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
4.306,44,0x02FA,762,-10,0.744141,0xE3BD,58301,-4,957,59.812,0x0300,768,-10,0.750000,0xDA0A,55818,-5,522,16.312,0x9003,0x9003
4.406,45,0x02FC,764,-10,0.746094,0xE3B7,58295,-4,951,59.438,0x0300,768,-10,0.750000,0xDA18,55832,-5,536,16.750,0x9003,0x9003
4.506,46,0x02FC,764,-10,0.746094,0xE3B6,58294,-4,950,59.375,0x0300,768,-10,0.750000,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
4.606,47,0x02FC,764,-10,0.746094,0xE3BC,58300,-4,956,59.750,0x0300,768,-10,0.750000,0xDA08,55816,-5,520,16.250,0x9003,0x9003
4.706,48,0x02FC,764,-10,0.746094,0xE3BB,58299,-4,955,59.688,0x0301,769,-10,0.750977,0xDA0C,55820,-5,524,16.375,0x9003,0x9003
4.806,49,0x02FA,762,-10,0.744141,0xE3AF,58287,-4,943,58.938,0x0300,768,-10,0.750000,0xDA10,55824,-5,528,16.500,0x9003,0x9003
4.906,50,0x02FD,765,-10,0.747070,0xE3BF,58303,-4,959,59.938,0x02FE,766,-10,0.748047,0xDA10,55824,-5,528,16.500,0x9003,0x9003
5.007,51,0x02FA,762,-10,0.744141,0xE3BE,58302,-4,958,59.875,0x0301,769,-10,0.750977,0xDA10,55824,-5,528,16.500,0x9003,0x9003
5.107,52,0x02FC,764,-10,0.746094,0xE3BA,58298,-4,954,59.625,0x0300,768,-10,0.750000,0xDA12,55826,-5,530,16.562,0x9003,0x9003
5.207,53,0x02FA,762,-10,0.744141,0xE3B7,58295,-4,951,59.438,0x02FD,765,-10,0.747070,0xDA16,55830,-5,534,16.688,0x9003,0x9003
5.307,54,0x02FC,764,-10,0.746094,0xE3B6,58294,-4,950,59.375,0x0300,768,-10,0.750000,0xDA10,55824,-5,528,16.500,0x9003,0x9003
5.408,55,0x02FA,762,-10,0.744141,0xE3C0,58304,-4,960,60.000,0x0300,768,-10,0.750000,0xDA08,55816,-5,520,16.250,0x9003,0x9003
5.508,56,0x02FC,764,-10,0.746094,0xE3B9,58297,-4,953,59.562,0x0300,768,-10,0.750000,0xDA04,55812,-5,516,16.125,0x9003,0x9003
5.608,57,0x02FC,764,-10,0.746094,0xE3B1,58289,-4,945,59.062,0x02FE,766,-10,0.748047,0xDA04,55812,-5,516,16.125,0x9003,0x9003
5.708,58,0x02FA,762,-10,0.744141,0xE3B4,58292,-4,948,59.250,0x0300,768,-10,0.750000,0xDA00,55808,-5,512,16.000,0x9003,0x9003
