timestamp,sample_num,value,units
0.152,1,59.00,°C
0.252,2,59.00,°C
0.352,3,59.00,°C
0.452,4,59.00,°C
0.552,5,59.00,°C
0.652,6,59.00,°C
0.753,7,59.00,°C
0.853,8,59.00,°C
0.953,9,59.00,°C
1.053,10,59.00,°C
1.153,11,59.00,°C
1.253,12,59.00,°C
1.354,13,59.00,°C
1.454,14,59.00,°C
1.554,15,59.00,°C
1.654,16,59.00,°C
1.754,17,59.00,°C
1.854,18,59.00,°C
1.954,19,59.00,°C
2.055,20,59.00,°C
2.155,21,59.00,°C
2.255,22,59.00,°C
2.355,23,59.00,°C
2.455,24,59.00,°C
2.555,25,59.00,°C
2.655,26,59.00,°C
2.756,27,59.00,°C
2.856,28,59.00,°C
2.956,29,59.00,°C
3.056,30,59.00,°C
3.156,31,59.00,°C
3.256,32,60.00,°C
3.356,33,60.00,°C
3.457,34,60.00,°C
3.557,35,60.00,°C
3.657,36,60.00,°C
3.757,37,60.00,°C
3.857,38,60.00,°C
3.957,39,60.00,°C
4.057,40,60.00,°C
4.158,41,60.00,°C
4.258,42,60.00,°C
4.358,43,60.00,°C
4.458,44,60.00,°C
4.558,45,60.00,°C
4.658,46,60.00,°C
4.759,47,60.00,°C
4.859,48,60.00,°C
4.959,49,60.00,°C
5.059,50,60.00,°C
5.159,51,60.00,°C
5.259,52,60.00,°C
5.359,53,60.00,°C
5.460,54,60.00,°C
5.560,55,60.00,°C
5.660,56,60.00,°C
5.760,57,60.00,°C
5.860,58,60.00,°C
5.960,59,60.00,°C
6.061,60,60.00,°C
6.161,61,60.00,°C
6.261,62,60.00,°C
6.361,63,60.00,°C
6.461,64,60.00,°C
6.561,65,60.00,°C
6.661,66,60.00,°C
6.762,67,60.00,°C
6.862,68,60.00,°C
6.962,69,60.00,°C
7.062,70,60.00,°C
7.162,71,60.00,°C
7.262,72,60.00,°C
7.362,73,60.00,°C
7.463,74,60.00,°C
7.563,75,60.00,°C
7.663,76,60.00,°C
7.763,77,60.00,°C
7.863,78,60.00,°C
7.963,79,60.00,°C
8.063,80,60.00,°C
8.164,81,60.00,°C
8.264,82,60.00,°C
8.364,83,60.00,°C
8.464,84,60.00,°C
8.564,85,60.00,°C
8.664,86,60.00,°C
8.764,87,60.00,°C
8.864,88,60.00,°C
8.965,89,60.00,°C
9.066,90,60.00,°C
9.166,91,60.00,°C
9.266,92,60.00,°C
9.366,93,60.00,°C
9.466,94,60.00,°C
9.566,95,60.00,°C
9.666,96,60.00,°C
9.767,97,60.00,°C
9.867,98,60.00,°C
9.967,99,60.00,°C
10.067,100,60.00,°C
10.167,101,60.00,°C
10.267,102,60.00,°C
10.368,103,60.00,°C
10.468,104,60.00,°C
10.568,105,60.00,°C
10.668,106,60.00,°C
10.768,107,60.00,°C
10.868,108,60.00,°C
10.968,109,60.00,°C
11.069,110,60.00,°C
11.169,111,60.00,°C
11.269,112,60.00,°C
11.369,113,61.00,°C
11.469,114,60.00,°C
11.569,115,60.00,°C
11.669,116,61.00,°C
11.770,117,61.00,°C
11.870,118,61.00,°C
11.970,119,60.00,°C
12.070,120,61.00,°C
12.170,121,61.00,°C
12.270,122,61.00,°C
12.371,123,61.00,°C
12.471,124,61.00,°C
12.571,125,61.00,°C
12.671,126,61.00,°C
12.771,127,61.00,°C
12.871,128,61.00,°C
12.971,129,61.00,°C
13.072,130,61.00,°C
13.172,131,61.00,°C
13.272,132,61.00,°C
13.372,133,61.00,°C
13.472,134,61.00,°C
13.572,135,61.00,°C
13.673,136,61.00,°C
13.773,137,61.00,°C
13.874,138,61.00,°C
13.974,139,61.00,°C
14.074,140,61.00,°C
14.174,141,61.00,°C
14.274,142,61.00,°C
14.374,143,61.00,°C
14.474,144,61.00,°C
14.574,145,61.00,°C
14.675,146,61.00,°C
14.775,147,61.00,°C
14.875,148,61.00,°C
14.975,149,61.00,°C
15.075,150,61.00,°C
15.175,151,61.00,°C
15.275,152,61.00,°C
15.376,153,61.00,°C
15.476,154,61.00,°C
15.576,155,61.00,°C
15.676,156,61.00,°C
15.776,157,61.00,°C
15.876,158,61.00,°C
15.976,159,61.00,°C
16.077,160,61.00,°C
16.177,161,61.00,°C
16.277,162,61.00,°C
16.377,163,61.00,°C
16.477,164,61.00,°C
16.577,165,61.00,°C
16.677,166,61.00,°C
16.778,167,61.00,°C
16.878,168,61.00,°C
16.978,169,61.00,°C
17.078,170,61.00,°C
17.178,171,61.00,°C
17.278,172,61.00,°C
17.379,173,61.00,°C
17.479,174,61.00,°C
17.579,175,61.00,°C
17.679,176,61.00,°C
17.779,177,61.00,°C
17.879,178,61.00,°C
17.979,179,61.00,°C
18.080,180,61.00,°C
18.180,181,61.00,°C
18.280,182,61.00,°C
18.380,183,61.00,°C
18.480,184,61.00,°C
18.580,185,61.00,°C
18.680,186,61.00,°C
18.781,187,61.00,°C
18.881,188,61.00,°C
18.981,189,61.00,°C
19.081,190,61.00,°C
19.181,191,61.00,°C
19.281,192,61.00,°C
19.381,193,61.00,°C
19.482,194,61.00,°C
19.582,195,61.00,°C
19.682,196,61.00,°C
19.782,197,61.00,°C
19.882,198,61.00,°C
19.982,199,61.00,°C
20.083,200,61.00,°C
20.183,201,61.00,°C
20.283,202,61.00,°C
20.383,203,61.00,°C
20.483,204,61.00,°C
20.583,205,61.00,°C
20.683,206,61.00,°C
20.784,207,61.00,°C
20.884,208,61.00,°C
20.984,209,61.00,°C
21.084,210,61.00,°C
21.184,211,61.00,°C
21.284,212,61.00,°C
21.384,213,61.00,°C
21.485,214,61.00,°C
21.585,215,61.00,°C
21.685,216,61.00,°C
21.785,217,61.00,°C
21.885,218,61.00,°C
21.985,219,61.00,°C
22.086,220,61.00,°C
22.186,221,61.00,°C
22.286,222,61.00,°C
22.386,223,61.00,°C
22.486,224,61.00,°C
22.586,225,61.00,°C
22.686,226,61.00,°C
22.787,227,61.00,°C
22.887,228,61.00,°C
22.987,229,61.00,°C
23.087,230,61.00,°C
23.187,231,61.00,°C
23.287,232,61.00,°C
23.387,233,61.00,°C
23.488,234,61.00,°C
23.588,235,61.00,°C
23.688,236,61.00,°C
23.788,237,61.00,°C
23.888,238,61.00,°C
23.988,239,62.00,°C
24.089,240,62.00,°C
24.189,241,61.00,°C
24.289,242,62.00,°C
24.389,243,61.00,°C
24.489,244,62.00,°C
24.589,245,62.00,°C
24.689,246,61.00,°C
24.790,247,62.00,°C
24.890,248,62.00,°C
24.990,249,62.00,°C
25.090,250,62.00,°C
25.190,251,62.00,°C
25.290,252,62.00,°C
25.390,253,62.00,°C
25.491,254,62.00,°C
25.591,255,62.00,°C
25.691,256,62.00,°C
25.791,257,62.00,°C
25.891,258,62.00,°C
25.991,259,62.00,°C
26.092,260,62.00,°C
26.192,261,62.00,°C
26.292,262,62.00,°C
26.392,263,62.00,°C
26.492,264,62.00,°C
26.592,265,62.00,°C
26.692,266,62.00,°C
26.793,267,62.00,°C
26.893,268,62.00,°C
26.993,269,62.00,°C
27.093,270,62.00,°C
27.193,271,62.00,°C
27.293,272,62.00,°C
27.393,273,62.00,°C
27.494,274,62.00,°C
27.594,275,62.00,°C
27.694,276,62.00,°C
27.794,277,62.00,°C
27.894,278,62.00,°C
27.994,279,62.00,°C
28.094,280,62.00,°C
28.195,281,62.00,°C
28.295,282,62.00,°C
28.395,283,62.00,°C
28.495,284,62.00,°C
28.595,285,62.00,°C
28.695,286,62.00,°C
28.795,287,62.00,°C
28.896,288,62.00,°C
28.996,289,62.00,°C
29.096,290,62.00,°C
29.196,291,62.00,°C
29.296,292,62.00,°C
29.396,293,62.00,°C
29.497,294,62.00,°C
29.597,295,62.00,°C
29.697,296,62.00,°C
29.797,297,62.00,°C
29.897,298,62.00,°C
29.997,299,62.00,°C
30.097,300,62.00,°C
30.198,301,62.00,°C
30.299,302,62.00,°C
30.399,303,62.00,°C
30.499,304,62.00,°C
30.599,305,62.00,°C
30.699,306,62.00,°C
30.799,307,62.00,°C
30.899,308,62.00,°C
31.000,309,62.00,°C
31.100,310,62.00,°C
31.200,311,62.00,°C
31.300,312,62.00,°C
31.400,313,62.00,°C
31.500,314,62.00,°C
31.601,315,62.00,°C
31.701,316,62.00,°C
31.801,317,62.00,°C
31.901,318,62.00,°C
32.001,319,62.00,°C
